databaze,schemat,tabulka,sloupec,poradi_ve_tabulce,datovy_typ,max_delka,ciselna_presnost,ciselna_mista,je_nullovatelny,vychozi_hodnota,je_identity
postgres,auth,refresh_tokens,user_id,4,character varying,255,null,null,true,null,false
postgres,auth,refresh_tokens,revoked,5,boolean,null,null,null,true,null,false
postgres,auth,refresh_tokens,created_at,6,timestamp with time zone,null,null,null,true,null,false
postgres,auth,refresh_tokens,updated_at,7,timestamp with time zone,null,null,null,true,null,false
postgres,auth,refresh_tokens,parent,8,character varying,255,null,null,true,null,false
postgres,auth,refresh_tokens,session_id,9,uuid,null,null,null,true,null,false
postgres,auth,saml_providers,id,1,uuid,null,null,null,false,null,false
postgres,auth,saml_providers,sso_provider_id,2,uuid,null,null,null,false,null,false
postgres,auth,saml_providers,entity_id,3,text,null,null,null,false,null,false
postgres,auth,saml_providers,metadata_xml,4,text,null,null,null,false,null,false
postgres,auth,saml_providers,metadata_url,5,text,null,null,null,true,null,false
postgres,auth,saml_providers,attribute_mapping,6,jsonb,null,null,null,true,null,false
postgres,auth,saml_providers,created_at,7,timestamp with time zone,null,null,null,true,null,false
postgres,auth,saml_providers,updated_at,8,timestamp with time zone,null,null,null,true,null,false
postgres,auth,saml_providers,name_id_format,9,text,null,null,null,true,null,false
postgres,auth,saml_relay_states,id,1,uuid,null,null,null,false,null,false
postgres,auth,saml_relay_states,sso_provider_id,2,uuid,null,null,null,false,null,false
postgres,auth,saml_relay_states,request_id,3,text,null,null,null,false,null,false
postgres,auth,saml_relay_states,for_email,4,text,null,null,null,true,null,false
postgres,auth,saml_relay_states,redirect_to,5,text,null,null,null,true,null,false
postgres,auth,saml_relay_states,created_at,7,timestamp with time zone,null,null,null,true,null,false
postgres,auth,saml_relay_states,updated_at,8,timestamp with time zone,null,null,null,true,null,false
postgres,auth,saml_relay_states,flow_state_id,9,uuid,null,null,null,true,null,false
postgres,auth,schema_migrations,version,1,character varying,255,null,null,false,null,false
postgres,auth,sessions,id,1,uuid,null,null,null,false,null,false
postgres,auth,sessions,user_id,2,uuid,null,null,null,false,null,false
postgres,auth,sessions,created_at,3,timestamp with time zone,null,null,null,true,null,false
postgres,auth,sessions,updated_at,4,timestamp with time zone,null,null,null,true,null,false
postgres,auth,sessions,factor_id,5,uuid,null,null,null,true,null,false
postgres,auth,sessions,aal,6,USER-DEFINED,null,null,null,true,null,false
postgres,auth,sessions,not_after,7,timestamp with time zone,null,null,null,true,null,false
postgres,auth,sessions,refreshed_at,8,timestamp without time zone,null,null,null,true,null,false
postgres,auth,sessions,user_agent,9,text,null,null,null,true,null,false
postgres,auth,sessions,ip,10,inet,null,null,null,true,null,false
postgres,auth,sessions,tag,11,text,null,null,null,true,null,false
postgres,auth,sessions,oauth_client_id,12,uuid,null,null,null,true,null,false
postgres,auth,sessions,refresh_token_hmac_key,13,text,null,null,null,true,null,false
postgres,auth,sessions,refresh_token_counter,14,bigint,null,64,0,true,null,false
postgres,auth,sessions,scopes,15,text,null,null,null,true,null,false
postgres,auth,sso_domains,id,1,uuid,null,null,null,false,null,false
postgres,auth,sso_domains,sso_provider_id,2,uuid,null,null,null,false,null,false
postgres,auth,sso_domains,domain,3,text,null,null,null,false,null,false
postgres,auth,sso_domains,created_at,4,timestamp with time zone,null,null,null,true,null,false
postgres,auth,sso_domains,updated_at,5,timestamp with time zone,null,null,null,true,null,false
postgres,auth,sso_providers,id,1,uuid,null,null,null,false,null,false
postgres,auth,sso_providers,resource_id,2,text,null,null,null,true,null,false
postgres,auth,sso_providers,created_at,3,timestamp with time zone,null,null,null,true,null,false
postgres,auth,sso_providers,updated_at,4,timestamp with time zone,null,null,null,true,null,false
postgres,auth,sso_providers,disabled,5,boolean,null,null,null,true,null,false
postgres,auth,users,instance_id,1,uuid,null,null,null,true,null,false
postgres,auth,users,id,2,uuid,null,null,null,false,null,false
postgres,auth,users,aud,3,character varying,255,null,null,true,null,false
postgres,auth,users,role,4,character varying,255,null,null,true,null,false
postgres,auth,users,email,5,character varying,255,null,null,true,null,false
postgres,auth,users,encrypted_password,6,character varying,255,null,null,true,null,false
postgres,auth,users,email_confirmed_at,7,timestamp with time zone,null,null,null,true,null,false
postgres,auth,users,invited_at,8,timestamp with time zone,null,null,null,true,null,false
postgres,auth,users,confirmation_token,9,character varying,255,null,null,true,null,false
postgres,auth,users,confirmation_sent_at,10,timestamp with time zone,null,null,null,true,null,false
postgres,auth,users,recovery_token,11,character varying,255,null,null,true,null,false
postgres,auth,users,recovery_sent_at,12,timestamp with time zone,null,null,null,true,null,false
postgres,auth,users,email_change_token_new,13,character varying,255,null,null,true,null,false
postgres,auth,users,email_change,14,character varying,255,null,null,true,null,false
postgres,auth,users,email_change_sent_at,15,timestamp with time zone,null,null,null,true,null,false
postgres,auth,users,last_sign_in_at,16,timestamp with time zone,null,null,null,true,null,false
postgres,auth,users,raw_app_meta_data,17,jsonb,null,null,null,true,null,false
postgres,auth,users,raw_user_meta_data,18,jsonb,null,null,null,true,null,false
postgres,auth,users,is_super_admin,19,boolean,null,null,null,true,null,false
postgres,auth,users,created_at,20,timestamp with time zone,null,null,null,true,null,false
postgres,auth,users,updated_at,21,timestamp with time zone,null,null,null,true,null,false
postgres,auth,users,phone,22,text,null,null,null,true,NULL::character varying,false
